Epoch,Train Loss,Train Error,Test Loss,Test Error
467,0.274151958,0.09744,1.52928493,0.3189
468,0.27636035,0.09742,1.49901866,0.315
469,0.274778159,0.09766,1.49451808,0.307
470,0.275549868,0.09638,1.52742149,0.3133
471,0.276107944,0.0969,1.52696233,0.3173
472,0.273508298,0.0966,1.47535475,0.3013
473,0.27328078,0.0963,1.5128978,0.3114
474,0.273030774,0.09506,1.5748458,0.3249
475,0.272049836,0.09436,1.44853685,0.2957
476,0.271454872,0.09418,1.528012,0.3146
477,0.273182604,0.096,1.46282428,0.2942
478,0.276007163,0.09622,1.42989789,0.2855
479,0.269107857,0.09364,1.54014731,0.3164
480,0.265370435,0.09286,1.50756166,0.3007
481,0.270111734,0.09504,1.48920901,0.3055
482,0.266810608,0.09364,1.47697791,0.2989
483,0.269504105,0.09418,1.53259171,0.3118
484,0.265836977,0.09122,1.49121167,0.3088
485,0.270004212,0.09428,1.49739997,0.3072
486,0.264704603,0.09272,1.51658338,0.3084
487,0.263746305,0.09152,1.48445069,0.3063
488,0.27089314,0.09616,1.54747044,0.314
489,0.262391919,0.09146,1.49322237,0.3063
490,0.264814142,0.09168,1.49646115,0.2969
491,0.267703017,0.09302,1.5460349,0.3186
492,0.271514745,0.09508,1.5679739,0.3179
493,0.267659135,0.0948,1.51858451,0.3013
494,0.257180842,0.0903,1.52354009,0.3026
495,0.260871725,0.09206,1.51629611,0.3008
496,0.260241937,0.09098,1.55383189,0.3128
497,0.268345799,0.0935,1.49801277,0.3052
498,0.257640903,0.09086,1.49542997,0.3075
499,0.262649413,0.09254,1.5263963,0.3072
500,0.263846354,0.09294,1.5156964,0.3039
